purchase_date,purchase_price,quantity,total_price,payment_method,shipping_address,shipping_city,shipping_state,shipping_country,shipping_postal_code,product_category,employee_department,transaction_id,customer_id,product_id,employee_id
12/3/2009,629.54,842,1175.55,debit card,47 Cody Crossing,Taouima,,Morocco,,Food - Grains,Business Development,2501,118,44,10
10/13/2005,653.84,626,4135.72,PayPal,3171 Declaration Avenue,Gejiu,,China,,Pets,Accounting,2502,378,27,10
4/14/2025,659.85,30,7099.89,credit card,60 Toban Court,Owando,,Republic of the Congo,,Accessories,Services,2503,454,3,20
6/6/2018,850.94,41,2796.96,PayPal,58891 Northridge Drive,Xiangcheng,,China,,Food - Salads,Legal,2504,424,48,57
1/1/2017,286.34,953,3073.95,cash,8 Lukken Hill,Timashëvsk,,Russia,352708,Garden,Marketing,2505,789,11,100
10/31/2007,840.58,128,5084.37,debit card,75 Pearson Terrace,Jiangti,,China,,Garden,Human Resources,2506,730,45,53
3/30/2011,874.34,546,2259.25,PayPal,64 Magdeline Alley,Kombandaru,,Indonesia,,Food - Bakery,Product Management,2507,460,18,1
5/24/2001,393.68,197,7591.44,credit card,86388 Mcguire Trail,Kuala Lumpur,KUL,Malaysia,50700,Food - Cereal,Research and Development,2508,154,82,55
1/21/2006,46.7,421,1988.89,PayPal,49779 Dixon Street,Chuandao,,China,,Food - Prepared Meals,Sales,2509,807,37,97
3/30/2006,129.76,18,6553.44,credit card,280 Mendota Lane,Qorovulbozor,,Uzbekistan,,Fitness,Sales,2510,586,23,52
4/28/2021,572.38,364,318.58,cash,6595 Ludington Lane,Dijon,A1,France,21072 CEDEX,Food - Bakery,Marketing,2511,613,66,54
6/19/2010,701.03,679,1956.3,PayPal,0 Magdeline Plaza,Agen,97,France,47923 CEDEX 9,Outdoor,Training,2512,114,88,91
9/13/2011,178.63,983,2564.81,PayPal,3 Crownhardt Plaza,Hausjärvi,,Finland,12210,Food - Baking Goods,Human Resources,2513,444,92,21
11/4/2021,836.57,181,3721.99,cash,579 Fuller Way,Ji’an,,China,,Audio,Sales,2514,232,56,43
2/19/2016,550.22,91,7975.73,cash,5 Sauthoff Plaza,Xinjian,,China,,Food - Frozen,Sales,2515,508,82,26
3/7/2009,401.48,718,9520.39,cash,389 Clemons Point,Pereslavl’-Zalesskiy,,Russia,171543,Kitchen,Sales,2516,744,85,70
5/11/2019,894.75,836,7605.97,debit card,19 Fremont Parkway,Bilyarsk,,Russia,422920,Food - Beverages,Product Management,2517,335,50,13
6/10/2006,674.66,964,8478.77,cash,978 Ilene Drive,Ikar,,Indonesia,,Clothing - Footwear,Accounting,2518,329,89,4
1/18/2017,311.29,225,1140.06,PayPal,427 Monument Trail,Seogeom-ri,,South Korea,,Food - Fruits,Marketing,2519,983,12,1
1/30/2024,291.44,545,4313.55,credit card,0381 Oxford Junction,Caracal,,Philippines,7114,Food - Breakfast,Research and Development,2520,792,70,58
6/16/2005,971.99,927,9562.32,PayPal,1056 Eastwood Drive,Fengyang,,China,,Food - Snacks,Marketing,2521,167,76,19
9/6/2002,508.25,175,5262.05,PayPal,04102 Grover Terrace,Jojoima,,Sierra Leone,,Food - Bakery,Research and Development,2522,736,80,70
1/29/2010,464.28,345,1661.24,cash,12341 Maryland Pass,Kolonnawa,,Sri Lanka,10600,Kitchen,Training,2523,239,34,51
5/12/2019,246.17,149,5336.37,PayPal,272 Goodland Circle,Echeng,,China,,Health,Legal,2524,647,62,43
7/15/2025,366.83,34,8886.27,cash,0926 Sundown Drive,Monte Azul Paulista,,Brazil,14730-000,Food - Meat,Research and Development,2525,104,25,59
6/21/2005,943.03,828,8305.74,cash,1 Sage Plaza,Bāglung,,Nepal,,Food - Beverages,Marketing,2526,16,73,28
8/5/2011,301.02,457,3210.78,cash,2 Texas Terrace,Ogawa,,Japan,989-2471,Food - Frozen Vegetables,Training,2527,840,31,86
7/18/2006,81.2,994,8670.45,credit card,98433 Ruskin Alley,Zouila,,Tunisia,,Food - Baking,Services,2528,874,72,16
1/1/2001,718.75,872,6438.58,credit card,88219 Claremont Court,Otaniemi,,Finland,32700,Food - Produce,Services,2529,34,10,78
3/2/2003,550.84,54,8270.1,cash,74284 Burning Wood Avenue,Văn Giang,,Vietnam,,Pets,Accounting,2530,286,48,77
7/16/2022,849.76,650,7830.93,cash,99576 Sutteridge Hill,Hengjiang,,China,,Food - Grains,Business Development,2531,440,94,75
11/8/2009,472.51,338,2031.88,cash,6 Doe Crossing Lane,Jiguaní,,Cuba,,Food - Breakfast,Training,2532,7,80,51
5/30/2017,855.4,394,7994.22,credit card,2 Ruskin Drive,San Miguel,,Philippines,8301,Food - Condiments,Support,2533,258,33,12
4/6/2011,651.56,598,1738.4,cash,228 Grayhawk Terrace,Ovsyanka,,Russia,663083,Home,Legal,2534,925,97,43
5/3/2016,513.45,797,4169.69,cash,909 Sutherland Point,Kouloúra,,Greece,,Food - Snacks,Support,2535,810,51,36
11/18/2015,706.63,756,1621.34,credit card,189 Delaware Street,Libog,,Philippines,3905,Food - Breakfast,Business Development,2536,447,33,62
6/4/2025,734.68,374,2277.6,credit card,1942 Pine View Place,Martinópolis,,Brazil,19500-000,Home,Research and Development,2537,423,56,84
7/15/2014,64.78,452,2974.81,debit card,7 Alpine Drive,Međa,,Serbia,,Food - Breakfast,Accounting,2538,505,65,98
11/15/2014,603.61,173,7905.19,PayPal,5 Bashford Hill,Proptisht,,Albania,,Clothing - Bottoms,Services,2539,389,98,51
1/24/2021,37.63,531,2083.56,credit card,5 Fieldstone Circle,Kalapagada,,Indonesia,,Food - Beverages,Business Development,2540,529,84,44
10/7/2018,619.42,817,502.16,credit card,49681 Namekagon Junction,Iksha,,Russia,141860,Food - Dairy,Human Resources,2541,920,51,84
11/11/2023,866.84,930,3759.66,PayPal,74 Homewood Place,Getulio,,Philippines,1175,Beauty,Accounting,2542,10,2,76
3/11/2005,820.98,387,3629.36,debit card,82140 Carioca Junction,Lamak,,Philippines,8608,Food - Snacks,Legal,2543,544,81,67
12/2/2014,878.76,71,6803.96,PayPal,30328 Golf View Point,Kepahiang,,Indonesia,,Food - Pasta,Training,2544,138,66,86
12/31/2018,616.01,478,7566.09,debit card,07 Meadow Valley Center,Licun,,China,,Accessories,Training,2545,755,10,29
11/12/2017,971.64,295,1307.76,debit card,9702 Hooker Terrace,Birqīn,,Palestinian Territory,,Food - Soups,Research and Development,2546,90,25,91
9/10/2007,116.37,824,5496.0,credit card,75 Fair Oaks Terrace,Ciénaga,,Colombia,478008,Food - Snacks,Product Management,2547,462,41,59
6/30/2019,742.28,551,1429.2,credit card,8025 Stuart Lane,Morales,,Colombia,134548,Outdoor,Sales,2548,214,33,86
10/22/2004,883.41,225,3919.01,cash,234 Hoepker Park,Conceição do Jacuípe,,Brazil,44245-000,Food - Meat,Accounting,2549,858,17,6
10/13/2019,688.54,750,803.28,cash,35 Troy Park,Xiaoshi,,China,,Outdoor,Research and Development,2550,437,21,1
1/1/2016,974.3,95,2003.96,credit card,1 Swallow Parkway,Waldbillig,,Luxembourg,L-7681,Food - Seafood,Services,2551,595,22,20
5/13/2013,856.85,776,9556.87,cash,23131 Holmberg Avenue,Hezhang,,China,,Food - Dairy Alternatives,Services,2552,90,91,41
4/3/2009,239.16,98,8885.48,credit card,5630 Killdeer Street,Xinjian,,China,,Food - Snacks,Product Management,2553,958,67,64
11/12/2008,163.85,25,8256.61,debit card,93596 Esker Point,Chropyně,,Czech Republic,768 11,Food - Oils & Vinegars,Business Development,2554,125,88,45
12/26/2021,691.34,830,5523.72,cash,86 Kensington Junction,Ozëry,,Russia,142152,Food - Meat,Sales,2555,376,61,99
7/10/2004,486.9,219,3030.88,PayPal,0 Graedel Trail,Baki,,Indonesia,,Food - Breakfast,Services,2556,92,82,11
3/23/2005,411.99,274,5298.9,debit card,98636 Welch Trail,Chanthaburi,,Thailand,24120,Home Improvement,Business Development,2557,848,7,91
9/3/2023,633.22,871,4153.5,debit card,2623 Oxford Junction,Vykhino-Zhulebino,,Russia,172372,Food - Cereal,Business Development,2558,252,69,100
11/8/2023,768.65,307,837.33,cash,02 Carpenter Trail,Głuchów,,Poland,96-130,Food - Snacks,Engineering,2559,133,24,59
3/30/2023,597.07,690,5488.2,PayPal,1 Forest Dale Circle,Amboise,A3,France,37404 CEDEX,Food - Bakery,Human Resources,2560,517,85,30
4/29/2006,903.27,980,5988.09,PayPal,12910 Gina Lane,Werbkowice,,Poland,22-550,Kitchen,Human Resources,2561,47,22,51
9/29/2025,924.5,282,5702.24,debit card,6 Rockefeller Parkway,Taibao,,China,,Food - Meat,Support,2562,60,34,79
9/15/2006,875.87,970,2456.96,PayPal,806 Onsgard Trail,Saint-Paul,RE,Reunion,97864 CEDEX,Office,Business Development,2563,788,99,91
2/4/2018,301.87,761,6448.74,PayPal,90 Clove Avenue,Marston,ENG,United Kingdom,ST20,Food - Baking,Legal,2564,641,24,21
6/6/2023,157.88,747,20.57,debit card,6 Farwell Plaza,Fuchang,,China,,Books,Engineering,2565,242,85,25
6/16/2024,835.54,557,1525.94,credit card,57 Kings Place,Sisŏphŏn,,Cambodia,,Food - Salads,Business Development,2566,8,48,31
7/3/2009,603.02,808,6779.37,debit card,3 Glacier Hill Crossing,Doba,,Chad,,Food - Baked Goods,Legal,2567,727,57,29
8/23/2011,983.23,751,1456.5,credit card,6 Farwell Park,Yuanmen,,China,,Electronics,Marketing,2568,72,77,53
5/25/2014,383.21,33,7451.6,credit card,7 Fallview Road,Kagal’nitskaya,,Russia,403538,Tools,Marketing,2569,522,81,26
5/17/2020,832.76,670,179.52,PayPal,4 Rowland Trail,Jiangyan,,China,,Outdoor,Legal,2570,875,96,67
5/1/2007,204.49,455,573.71,credit card,182 Russell Court,Qikeshu,,China,,Food - Breakfast,Legal,2571,329,21,45
10/6/2014,619.71,745,7600.55,debit card,3 Twin Pines Crossing,Pamoyanan,,Indonesia,,Food - Snacks,Support,2572,552,5,57
8/3/2019,248.14,838,9993.64,PayPal,8 Redwing Junction,Gorzyce,,Poland,88-405,Tools,Support,2573,246,49,57
7/6/2011,828.06,841,3464.42,PayPal,919 Fisk Road,Otaru,,Japan,869-1203,Food - Frozen Foods,Research and Development,2574,132,60,29
10/23/2016,124.67,61,9105.28,debit card,8 Buell Terrace,Cabinteely,,Ireland,D04,Home,Accounting,2575,221,14,49
11/23/2015,784.38,233,7419.65,cash,73 Corscot Street,Rezovac,,Croatia,33000,Home,Training,2576,857,51,73
5/31/2007,355.92,945,1611.78,credit card,469 Talmadge Junction,Duiwelskloof,,South Africa,0815,Food - Breakfast,Sales,2577,979,70,84
5/21/2018,786.08,829,8185.47,cash,60 Magdeline Place,Mŭglizh,,Bulgaria,6172,Pets,Engineering,2578,265,72,53
9/22/2015,630.42,216,4692.4,credit card,12870 Daystar Parkway,Esmoriz,01,Portugal,3885-395,Food - Baking,Support,2579,983,16,32
7/10/2012,618.14,773,1154.07,debit card,327 Brentwood Alley,Cosquín,,Argentina,5166,Food - Nut Butters,Business Development,2580,910,50,66
9/9/2022,174.18,687,6382.63,credit card,21 Katie Plaza,Bayanhoshuu,,Mongolia,,Food - Prepared Meals,Business Development,2581,997,99,68
4/15/2012,171.43,971,440.94,PayPal,87102 Westend Lane,Naples,FL,United States,34114,Crafts,Legal,2582,614,66,12
12/27/2008,935.65,474,4792.73,debit card,4294 Thompson Street,Shizukuishi,,Japan,680-1166,Toys,Training,2583,639,72,22
10/10/2011,867.63,657,7076.53,credit card,0 Summer Ridge Lane,Beihe,,China,,Kitchen,Accounting,2584,23,36,42
7/4/2002,858.94,562,5253.53,PayPal,775 Nevada Crossing,Kubang,,Indonesia,,Home,Product Management,2585,966,88,68
11/25/2021,562.41,197,1872.52,credit card,8 Warner Parkway,Valence,B9,France,26009 CEDEX,Food - Prepared Foods,Services,2586,82,63,87
5/6/2021,602.83,191,2626.21,PayPal,2 Vermont Junction,Munggang,,Indonesia,,Kitchen,Research and Development,2587,434,11,30
1/28/2024,196.78,408,6177.52,cash,35 Meadow Ridge Center,Eksjö,F,Sweden,575 35,Fitness,Accounting,2588,579,31,57
3/4/2014,156.43,823,151.28,debit card,9 Sloan Way,Delson,QC,Canada,J5B,Food - Canned Soups,Business Development,2589,515,2,46
4/1/2007,443.47,664,6980.42,credit card,53 Westport Lane,Suqin Huimin,,China,,Food - Meat,Legal,2590,915,63,28
7/29/2020,674.6,768,9677.84,PayPal,8066 Comanche Pass,Stockholm,AB,Sweden,121 29,Travel,Product Management,2591,284,61,64
5/4/2010,545.33,891,7861.15,debit card,59 Ilene Terrace,Tha Muang,,Thailand,71110,Food - Condiments,Support,2592,774,47,21
6/30/2010,579.43,964,4943.12,cash,5 Banding Alley,Frederiksberg,1084,Denmark,1853,Food - Canned Goods,Product Management,2593,406,15,86
9/18/2009,852.76,856,1587.52,credit card,00278 Westport Drive,Studenec,,Czech Republic,675 02,Kitchen,Product Management,2594,912,12,8
8/12/2006,986.91,211,17.76,PayPal,8 Bowman Street,Vratsa,,Bulgaria,3053,Safety,Engineering,2595,244,13,58
3/6/2001,872.27,15,4085.03,cash,080 Hagan Circle,Bebedouro,,Brazil,14700-000,Automotive,Support,2596,375,13,59
9/24/2025,92.55,20,7946.75,credit card,26 Melrose Parkway,Obuasi,,Ghana,,Outdoor,Legal,2597,267,55,29
6/20/2019,619.89,947,8695.57,debit card,63 Manufacturers Crossing,Elliot,,South Africa,5460,Food - Breakfast,Business Development,2598,810,73,12
6/30/2023,178.64,390,9520.35,cash,0 Gateway Road,Ādīs Zemen,,Ethiopia,,Food - Condiments,Legal,2599,249,35,12
12/12/2001,17.58,984,8096.55,cash,2 Stephen Avenue,Sosnovyy Bor,,Russia,601808,Kitchen,Marketing,2600,871,89,56
1/7/2007,979.74,30,1920.13,PayPal,1417 Nelson Pass,San José,,Costa Rica,40602,Home,Engineering,2601,250,6,17
4/13/2009,552.82,387,4410.11,cash,702 Brickson Park Drive,Huolu,,China,,Food - Snacks,Support,2602,890,21,89
6/21/2019,541.17,725,8109.27,debit card,4 Meadow Valley Trail,Kiupo,,Philippines,1173,Kitchen,Support,2603,551,24,79
10/10/2025,255.11,504,8714.41,PayPal,82 Express Crossing,Pohrebyshche,,Ukraine,,Food - Spices,Product Management,2604,524,40,90
8/18/2012,333.06,224,9992.02,credit card,45016 Wayridge Lane,Xiaosong,,China,,Food - Grains,Engineering,2605,423,35,68
10/6/2019,415.28,873,6987.2,debit card,015 Kennedy Drive,Paradahan,,Philippines,4114,Outdoor,Human Resources,2606,809,40,65
9/12/2015,477.12,341,3849.64,cash,06 Mcbride Plaza,Dawe,,Indonesia,,Food - Dips,Services,2607,467,16,99
11/18/2025,508.3,47,4252.28,credit card,01 Clarendon Plaza,Brunssum,05,Netherlands,6444,Home,Sales,2608,118,70,7
7/20/2023,279.48,569,8245.24,debit card,0 Granby Point,Jiangkou,,China,,Pets,Legal,2609,400,45,28
3/23/2007,314.32,495,1011.75,credit card,217 Kipling Court,Thị Trấn Yên Thế,,Vietnam,,Food - Beverages,Product Management,2610,763,64,56
4/30/2000,788.41,611,479.0,cash,252 1st Terrace,Séléa,,Comoros,,Fitness,Business Development,2611,875,46,71
2/16/2018,715.94,416,3461.88,PayPal,92 Arrowood Circle,Patimuan,,Indonesia,,Food - Meat,Product Management,2612,78,45,24
8/25/2008,827.28,388,3655.18,credit card,99 Hooker Crossing,Stare Miasto,,Poland,62-571,Food - Pasta,Accounting,2613,949,10,76
1/2/2019,835.98,527,9610.19,debit card,15 Lindbergh Center,Cikiruh,,Indonesia,,Food - Meats,Support,2614,221,90,72
5/19/2004,588.88,552,1886.39,debit card,00207 Jackson Plaza,Letsheng,,Botswana,,Food - Snacks,Product Management,2615,127,58,74
12/12/2009,880.16,226,7469.7,credit card,5 Corben Terrace,Selajambe Satu,,Indonesia,,Pets,Research and Development,2616,52,71,38
3/26/2018,233.99,499,6031.49,PayPal,9 Dayton Street,Sever do Vouga,01,Portugal,3740-251,Food - Snacks,Accounting,2617,250,31,59
11/21/2024,725.29,276,8391.12,debit card,21919 5th Lane,Mesógi,,Cyprus,,Food - Bakery,Human Resources,2618,535,82,18
11/25/2025,887.22,585,6982.39,cash,827 Little Fleur Trail,Palatine,IL,United States,60078,Fitness,Business Development,2619,636,29,22
10/6/2016,988.81,487,3130.26,cash,85025 Schlimgen Pass,Budënnovsk,,Russia,356825,Automotive,Research and Development,2620,564,25,97
3/12/2020,483.1,568,4490.2,credit card,06287 Dawn Drive,Pelabuhan Dagang,,Indonesia,,Food - Frozen Meals,Business Development,2621,537,42,53
5/29/2009,463.79,821,81.96,cash,62277 Pepper Wood Center,Trawniki,,Poland,21-044,Kitchen,Research and Development,2622,882,94,35
10/8/2002,545.59,265,9254.46,PayPal,989 Delaware Lane,Sarapul,,Russia,427985,Food - Condiments,Services,2623,336,46,57
2/4/2016,239.67,310,8124.2,PayPal,8 Sundown Place,That Phanom,,Thailand,48110,Food - Dairy,Product Management,2624,247,29,38
7/27/2024,190.45,111,5911.73,cash,39294 Mendota Trail,Vardane,,Russia,678030,Food - Condiments,Services,2625,866,22,28
6/25/2013,198.14,961,6658.56,cash,55 Vermont Plaza,Kashiwazaki,,Japan,976-0034,Kitchen,Human Resources,2626,657,61,94
12/7/2009,103.44,609,4516.34,PayPal,2 Drewry Alley,Qiaotou,,China,,Outdoor,Support,2627,460,41,96
12/22/2007,250.8,44,7350.13,credit card,65 Moulton Avenue,Tugdan,,Philippines,5509,Food - Snacks,Training,2628,536,90,34
11/24/2007,480.8,328,5533.45,cash,0 5th Circle,Geser,,Indonesia,,Art Supplies,Research and Development,2629,704,94,37
9/16/2021,845.76,12,426.47,PayPal,29 Homewood Alley,Lérida,,Colombia,731027,Storage,Marketing,2630,428,61,10
2/17/2025,34.85,486,2980.0,PayPal,32976 Aberg Center,Dewetsdorp,,South Africa,9940,Food - Produce,Engineering,2631,455,16,63
9/29/2017,940.89,572,269.7,debit card,03933 Waubesa Pass,Acajutla,,El Salvador,,Electronics,Training,2632,544,20,18
12/2/2025,370.11,572,5842.71,cash,0295 Oak Valley Court,Huangtian,,China,,Food - Sauces,Support,2633,231,81,86
12/4/2001,425.34,887,4172.0,credit card,758 Susan Street,Kumla,T,Sweden,692 81,Books,Business Development,2634,54,64,86
3/16/2000,791.2,834,8593.65,credit card,16976 Clemons Park,Duyang,,China,,Food - Canned Goods,Services,2635,550,1,56
1/14/2002,541.84,153,5972.37,cash,444 Monica Street,Daxing,,China,,Clothing - Footwear,Sales,2636,235,8,51
8/9/2011,489.55,416,855.46,PayPal,38419 Lakeland Avenue,Zhanxu,,China,,Food - Spreads,Sales,2637,4,87,78
4/30/2008,813.84,500,5199.41,credit card,176 Truax Plaza,Stung Treng,,Cambodia,,Food - Beverages,Accounting,2638,296,83,54
3/2/2014,223.94,689,8799.82,debit card,03 Moulton Point,Qarchī Gak,,Afghanistan,,Clothing - Outerwear,Legal,2639,869,55,85
10/12/2021,832.02,930,6105.48,debit card,2442 Troy Plaza,Jiangcun,,China,,Smart Home,Legal,2640,517,61,48
11/26/2014,978.08,76,9590.01,cash,3 Grover Pass,Nynäshamn,AB,Sweden,149 43,Food - Sides,Marketing,2641,397,48,59
11/29/2011,181.45,265,4007.34,cash,06 Waxwing Junction,Khlong Khuean,,Thailand,34280,Food - Condiments,Research and Development,2642,228,100,26
9/21/2022,817.66,370,123.51,credit card,62861 Service Plaza,Balta,,Ukraine,,Food - Soups,Human Resources,2643,759,86,61
7/11/2023,555.77,332,1495.89,PayPal,9 Talmadge Lane,Suya,,Nigeria,,Food - Snacks,Legal,2644,77,76,41
5/12/2010,989.86,795,591.57,debit card,0 Dunning Lane,Makubetsu,,Japan,521-1342,Food - Frozen Meals,Accounting,2645,767,75,36
6/10/2021,44.06,622,8481.1,credit card,87213 Basil Crossing,Lukrejo,,Indonesia,,Food - Baking Goods,Human Resources,2646,777,44,20
2/4/2022,803.38,61,9962.84,cash,64915 Washington Circle,Simod,,Philippines,4342,Food - Snacks,Engineering,2647,74,8,36
10/18/2008,269.72,657,2898.29,cash,04392 Grover Plaza,Mojolampir,,Indonesia,,Food - Condiments,Training,2648,768,54,17
5/5/2000,790.5,357,5070.18,PayPal,60 Victoria Terrace,Llipa,,Peru,,Automotive,Sales,2649,590,19,15
7/17/2023,95.37,411,9014.51,debit card,829 Orin Place,Pryazha,,Russia,186120,Food - Breakfast,Product Management,2650,454,13,93
3/30/2011,652.99,462,1096.43,cash,10 Fieldstone Terrace,Irapa,,Venezuela,,Food - Canned Goods,Training,2651,923,79,28
8/30/2019,175.47,779,7150.48,credit card,32452 Oriole Avenue,Stalís,,Greece,,Food - Meat,Support,2652,237,83,54
9/3/2017,161.96,579,243.55,PayPal,1021 Old Shore Drive,Camaligan,,Philippines,4401,Fitness,Business Development,2653,166,69,68
10/9/2011,912.7,566,3419.66,credit card,3 Fremont Point,Huangzhuang,,China,,Garden,Sales,2654,71,50,9
3/20/2009,226.96,33,9658.0,credit card,23679 Karstens Crossing,Piła,,Poland,64-970,Outdoor,Marketing,2655,389,38,37
1/14/2014,610.51,966,3316.84,debit card,1590 Corscot Parkway,San Luis,CHP,Mexico,27400,Food - Frozen Desserts,Legal,2656,916,45,37
4/21/2002,779.55,363,4947.49,credit card,48045 Novick Pass,Lewin Kłodzki,,Poland,57-343,Food - Meat Alternatives,Marketing,2657,224,22,25
6/25/2025,86.91,419,8104.21,PayPal,81 Petterle Drive,Urukh,,Russia,361366,Clothing - Dresses,Training,2658,589,90,93
2/8/2004,764.89,46,3390.91,credit card,48951 Farmco Hill,Ntoum,,Gabon,,Beauty,Engineering,2659,701,78,99
1/30/2002,152.05,991,5233.78,cash,03 Anderson Hill,Cầu Gồ,,Vietnam,,Food - Frozen Foods,Training,2660,314,68,23
2/14/2023,858.05,439,5306.55,PayPal,6623 Westerfield Way,Bene 'Ayish,,Israel,,Office,Legal,2661,221,38,36
10/10/2006,635.14,618,3375.3,cash,14 Schurz Park,Armenia,,Colombia,630008,Pets,Services,2662,765,93,86
10/8/2018,695.4,490,6019.68,debit card,86537 Division Alley,Rio de Moinhos,07,Portugal,7150-366,Food - Canned Goods,Engineering,2663,378,65,72
1/1/2011,722.49,143,7058.5,credit card,65740 Ilene Alley,Rio Preto da Eva,,Brazil,69115-000,Kitchen,Services,2664,424,88,10
9/30/2023,264.24,90,114.91,debit card,5 Granby Park,Yazd,,Iran,,Food - Condiments,Legal,2665,600,31,40
5/6/2008,805.42,815,8652.94,PayPal,016 Corry Point,As Saffānīyah,,Saudi Arabia,,Toys,Support,2666,645,67,22
4/15/2019,38.78,894,3690.0,cash,6 Springview Court,Pontang Tengah,,Indonesia,,Outdoor,Services,2667,264,94,52
12/25/2013,947.63,627,1215.44,debit card,905 Troy Plaza,Firenze,TC,Italy,50124,Kitchen,Training,2668,925,37,45
7/21/2013,683.92,113,2588.25,PayPal,810 Kenwood Plaza,Truskolasy,,Poland,42-134,Toys,Engineering,2669,629,55,9
7/25/2025,277.59,33,3550.15,credit card,57 Sachtjen Crossing,Yŏnggwang-ŭp,,North Korea,,Food - Frozen Foods,Support,2670,27,96,95
11/20/2008,612.62,633,2505.03,cash,761 Grayhawk Pass,Yaring,,Thailand,94150,Food - Desserts,Services,2671,707,1,44
9/25/2008,282.55,464,4019.75,credit card,2504 Sherman Road,Finote Selam,,Ethiopia,,Food - Dairy,Sales,2672,599,82,22
5/7/2016,97.52,824,5416.36,debit card,2433 Mccormick Crossing,Ikryanoye,,Russia,416372,Garden,Human Resources,2673,83,96,77
12/10/2002,657.59,308,8508.78,PayPal,66424 Carioca Park,Cajazeiras,,Brazil,58900-000,Clothing,Engineering,2674,692,5,54
8/5/2000,867.08,158,4845.97,PayPal,355 Birchwood Lane,Orizari,,Macedonia,2302,Food - Beverages,Legal,2675,686,20,59
10/3/2010,229.21,155,9106.09,cash,00571 Vermont Hill,Serra,,Brazil,29160-000,Food - Condiments,Business Development,2676,890,73,38
10/26/2019,629.23,669,2713.5,cash,02558 Green Circle,Brwinów,,Poland,05-840,Health,Sales,2677,435,80,46
2/29/2020,853.24,421,48.79,PayPal,23682 Merry Circle,Strängnäs,D,Sweden,645 23,Food - Snacks,Training,2678,92,67,16
10/2/2004,877.66,373,9325.31,debit card,6 Ridge Oak Junction,Bytkiv,,Ukraine,,Food - Condiments,Engineering,2679,350,95,18
9/25/2024,78.36,128,8919.95,debit card,2 Carberry Circle,Laval,QC,Canada,H7S,Food - Condiments,Product Management,2680,518,10,96
8/27/2018,55.32,611,103.16,cash,6 Main Center,Carrascal,14,Portugal,6120-215,Clothing - Dresses,Product Management,2681,234,73,18
2/29/2024,114.97,905,2047.62,PayPal,386 Ludington Pass,Bitam,,Gabon,,Food - Snacks,Services,2682,577,55,58
1/27/2023,326.7,930,1350.5,debit card,407 Welch Center,Béthune,B4,France,62404 CEDEX,Food - Prepared Meals,Sales,2683,918,27,36
5/23/2018,390.11,952,80.67,credit card,972 Mcbride Park,Chatuchak,,Thailand,64180,Food - Produce,Training,2684,658,18,85
8/27/2012,985.15,169,7697.01,debit card,119 Butternut Crossing,Lamalewar,,Indonesia,,Food - Condiments,Accounting,2685,756,61,30
3/20/2005,276.91,825,1278.17,credit card,29 Service Crossing,Guilhabreu,13,Portugal,4485-005,Outdoor,Accounting,2686,897,57,80
10/20/2015,294.39,172,9294.61,credit card,92231 Red Cloud Street,Krajan Pocangan,,Indonesia,,Food - Snacks,Training,2687,491,85,8
1/17/2014,538.14,122,586.78,PayPal,4 Spaight Lane,Bus’k,,Ukraine,,Food - Meat,Human Resources,2688,355,77,29
10/11/2025,118.69,888,6715.38,credit card,52 Green Ridge Street,Pueblo Nuevo,,Peru,,Fitness,Accounting,2689,778,28,48
11/20/2006,620.43,178,6925.53,PayPal,30119 Sutherland Road,Bolderaja,,Latvia,,Food - Dairy,Engineering,2690,75,64,84
12/6/2004,275.76,168,1106.18,debit card,3082 Gina Lane,San José El Ídolo,,Guatemala,10030,Clothing,Marketing,2691,375,33,67
2/28/2001,669.26,839,1173.11,cash,10 Sage Junction,Yasothon,,Thailand,35000,Electronics,Research and Development,2692,459,85,38
5/20/2011,427.09,733,904.7,cash,5327 Stephen Trail,Hradec nad Moravici,,Czech Republic,747 84,Kitchen,Engineering,2693,816,98,11
7/22/2015,39.69,493,8932.95,cash,71 Ruskin Plaza,Gbadolite,,Democratic Republic of the Congo,,Home,Legal,2694,603,9,43
5/3/2025,987.31,954,4484.2,cash,54086 Maywood Road,Daitou,,China,,Food - Snacks,Engineering,2695,311,59,56
8/8/2011,689.99,927,9769.49,credit card,22 Gateway Alley,Eixo,01,Portugal,3800-766,Kitchen,Research and Development,2696,372,64,90
9/5/2013,915.65,775,2450.32,cash,35 Toban Drive,Gaphatshwe,,Botswana,,Food - Meat,Engineering,2697,820,50,59
7/16/2023,136.24,410,9417.64,credit card,13 Sundown Center,Dambořice,,Czech Republic,696 35,Art Supplies,Support,2698,944,49,90
2/17/2007,888.6,774,81.3,credit card,6009 Boyd Hill,Divnomorskoye,,Russia,353490,Home,Legal,2699,953,85,46
12/30/2007,457.08,117,9137.62,cash,07696 Grover Drive,Cedynia,,Poland,74-520,Clothing - Accessories,Product Management,2700,871,86,77
10/16/2008,472.23,974,4391.97,credit card,8316 Namekagon Lane,Yantianhe,,China,,Outdoor,Legal,2701,847,44,43
4/27/2023,343.69,442,7508.3,PayPal,8963 Spenser Circle,Arvika,S,Sweden,671 60,Clothing - Dresses,Sales,2702,187,97,5
6/17/2008,199.63,751,4355.02,PayPal,8 Johnson Trail,Bau,,Indonesia,,Books,Accounting,2703,801,59,90
3/19/2013,780.57,798,6612.72,debit card,36 Hoffman Avenue,Solna,AB,Sweden,171 64,Food - Meat,Business Development,2704,956,74,60
